# angle in degree, follower displacement, angle in radian, cam radial distance
7.500000000000000000e+01,8.750000000000000000e+00,1.308996938995747206e+00,1.875000000000000000e+01
7.600000000000000000e+01,8.848000000000000753e+00,1.326450231515690525e+00,1.884799999999999898e+01
7.700000000000000000e+01,8.942000000000000171e+00,1.343903524035633845e+00,1.894200000000000017e+01
7.800000000000000000e+01,9.032000000000000028e+00,1.361356816555576943e+00,1.903200000000000003e+01
7.900000000000000000e+01,9.118000000000000327e+00,1.378810109075520263e+00,1.911800000000000210e+01
8.000000000000000000e+01,9.200000000000001066e+00,1.396263401595463582e+00,1.920000000000000284e+01
8.100000000000000000e+01,9.278000000000000469e+00,1.413716694115406902e+00,1.927799999999999869e+01
8.200000000000000000e+01,9.351999999999998536e+00,1.431169986635350222e+00,1.935199999999999676e+01
8.300000000000000000e+01,9.421999999999998820e+00,1.448623279155293542e+00,1.942199999999999704e+01
8.400000000000000000e+01,9.487999999999999545e+00,1.466076571675236861e+00,1.948799999999999955e+01
8.500000000000000000e+01,9.549999999999998934e+00,1.483529864195180181e+00,1.954999999999999716e+01
8.600000000000000000e+01,9.608000000000000540e+00,1.500983156715123501e+00,1.960800000000000054e+01
8.700000000000000000e+01,9.661999999999999034e+00,1.518436449235066599e+00,1.966199999999999903e+01
8.800000000000000000e+01,9.711999999999999744e+00,1.535889741755009918e+00,1.971199999999999974e+01
8.900000000000000000e+01,9.757999999999999119e+00,1.553343034274953238e+00,1.975799999999999912e+01
9.000000000000000000e+01,9.800000000000000711e+00,1.570796326794896558e+00,1.980000000000000071e+01
9.100000000000000000e+01,9.838000000000000966e+00,1.588249619314839878e+00,1.983800000000000097e+01
9.200000000000000000e+01,9.871999999999999886e+00,1.605702911834783198e+00,1.987199999999999989e+01
9.300000000000000000e+01,9.901999999999999247e+00,1.623156204354726517e+00,1.990200000000000102e+01
9.400000000000000000e+01,9.928000000000000824e+00,1.640609496874669837e+00,1.992800000000000082e+01
9.500000000000000000e+01,9.949999999999999289e+00,1.658062789394613157e+00,1.994999999999999929e+01
9.600000000000000000e+01,9.967999999999999972e+00,1.675516081914556477e+00,1.996799999999999997e+01
9.700000000000000000e+01,9.981999999999999318e+00,1.692969374434499574e+00,1.998199999999999932e+01
9.800000000000000000e+01,9.991999999999999105e+00,1.710422666954442894e+00,1.999199999999999733e+01
9.900000000000000000e+01,9.998000000000001108e+00,1.727875959474386214e+00,1.999800000000000111e+01
1.000000000000000000e+02,9.998000000000001108e+00,1.745329251994329534e+00,1.999800000000000111e+01
1.010000000000000000e+02,9.998000000000001108e+00,1.762782544514272853e+00,1.999800000000000111e+01
1.020000000000000000e+02,9.998000000000001108e+00,1.780235837034216173e+00,1.999800000000000111e+01
1.030000000000000000e+02,9.998000000000001108e+00,1.797689129554159493e+00,1.999800000000000111e+01
1.040000000000000000e+02,9.998000000000001108e+00,1.815142422074102813e+00,1.999800000000000111e+01
1.050000000000000000e+02,9.998000000000001108e+00,1.832595714594046132e+00,1.999800000000000111e+01
1.060000000000000000e+02,9.998000000000001108e+00,1.850049007113989230e+00,1.999800000000000111e+01
1.070000000000000000e+02,9.998000000000001108e+00,1.867502299633932550e+00,1.999800000000000111e+01
1.080000000000000000e+02,9.998000000000001108e+00,1.884955592153875870e+00,1.999800000000000111e+01
1.090000000000000000e+02,9.998000000000001108e+00,1.902408884673819189e+00,1.999800000000000111e+01
1.100000000000000000e+02,9.998000000000001108e+00,1.919862177193762509e+00,1.999800000000000111e+01
1.110000000000000000e+02,9.998000000000001108e+00,1.937315469713705829e+00,1.999800000000000111e+01
1.120000000000000000e+02,9.998000000000001108e+00,1.954768762233649149e+00,1.999800000000000111e+01
1.130000000000000000e+02,9.998000000000001108e+00,1.972222054753592468e+00,1.999800000000000111e+01
1.140000000000000000e+02,9.998000000000001108e+00,1.989675347273535788e+00,1.999800000000000111e+01
1.150000000000000000e+02,9.998000000000001108e+00,2.007128639793478886e+00,1.999800000000000111e+01
1.160000000000000000e+02,9.998000000000001108e+00,2.024581932313422428e+00,1.999800000000000111e+01
1.170000000000000000e+02,9.998000000000001108e+00,2.042035224833365525e+00,1.999800000000000111e+01
1.180000000000000000e+02,9.998000000000001108e+00,2.059488517353309067e+00,1.999800000000000111e+01
1.190000000000000000e+02,9.998000000000001108e+00,2.076941809873252165e+00,1.999800000000000111e+01
1.200000000000000000e+02,9.998000000000001108e+00,2.094395102393195263e+00,1.999800000000000111e+01
1.210000000000000000e+02,9.998000000000001108e+00,2.111848394913138804e+00,1.999800000000000111e+01
1.220000000000000000e+02,9.998000000000001108e+00,2.129301687433081902e+00,1.999800000000000111e+01
1.230000000000000000e+02,9.998000000000001108e+00,2.146754979953025444e+00,1.999800000000000111e+01
1.240000000000000000e+02,9.998000000000001108e+00,2.164208272472968542e+00,1.999800000000000111e+01
1.250000000000000000e+02,9.998000000000001108e+00,2.181661564992912083e+00,1.999800000000000111e+01
1.260000000000000000e+02,9.998000000000001108e+00,2.199114857512855181e+00,1.999800000000000111e+01
1.270000000000000000e+02,9.998000000000001108e+00,2.216568150032798723e+00,1.999800000000000111e+01
1.280000000000000000e+02,9.998000000000001108e+00,2.234021442552741821e+00,1.999800000000000111e+01
1.290000000000000000e+02,9.998000000000001108e+00,2.251474735072684918e+00,1.999800000000000111e+01
1.300000000000000000e+02,9.998000000000001108e+00,2.268928027592628460e+00,1.999800000000000111e+01
1.310000000000000000e+02,9.998000000000001108e+00,2.286381320112571558e+00,1.999800000000000111e+01
1.320000000000000000e+02,9.998000000000001108e+00,2.303834612632515100e+00,1.999800000000000111e+01
1.330000000000000000e+02,9.998000000000001108e+00,2.321287905152458197e+00,1.999800000000000111e+01
1.340000000000000000e+02,9.998000000000001108e+00,2.338741197672401739e+00,1.999800000000000111e+01
